date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:10	164916/164916	---M-Z	200	added ('OK')	text/html	etag:%22053af8a75032b676e94054edb84cac2f%22	https://licznikbot.framer.website/	C:/Moje%20Strony%20Web/FRAJERGIT/licznikbot.framer.website/index.html	(from )
12:06:10	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2299c2c1b225481da7cd2b1c15c0668a87%22	https://licznikbot.framer.website/robots.txt		(from )
12:06:11	3779/3779	---MC-	200	added ('OK')	image/png	etag:%22731f233cbde442f299c171b12342af47%22	https://framerusercontent.com/images/OqucN1BBoAD21DVmfwku0zgexF4.png	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/OqucN1BBoAD21DVmfwku0zgexF4.png	(from https://licznikbot.framer.website/)
12:06:11	66619/66619	---MC-	200	added ('OK')	image/png	etag:%22e5b9e44bc44c30d07ba2633aaa7ace18%22	https://framerusercontent.com/images/Um5Y3xrJZUOeRH3jjmLUsNbQs.png	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/Um5Y3xrJZUOeRH3jjmLUsNbQs.png	(from https://licznikbot.framer.website/)
12:06:12	166613/166613	---M-Z	200	added ('OK')	text/html	etag:%2276f67796d37bad0ae21642ed54107af3%22	https://licznikbot.framer.website/about	C:/Moje%20Strony%20Web/FRAJERGIT/licznikbot.framer.website/about.html	(from https://licznikbot.framer.website/)
12:06:12	162063/162063	---M-Z	200	added ('OK')	text/html	etag:%22a6b91d55810746194164bcc66792be01%22	https://licznikbot.framer.website/contact	C:/Moje%20Strony%20Web/FRAJERGIT/licznikbot.framer.website/contact.html	(from https://licznikbot.framer.website/)
12:06:12	169148/169148	---MC-	200	added ('OK')	image/jpeg	etag:%22240fbd1071bdf9773e6691ed9df1556e%22	https://framerusercontent.com/images/H5C9PEz6HOH8XJZgEi1YXASUGso.jpg	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/H5C9PEz6HOH8XJZgEi1YXASUGso.jpg	(from https://licznikbot.framer.website/)
12:06:13	339527/339527	---MC-	200	added ('OK')	image/gif	etag:%223a36a594a630a74b77d9183de5967748%22	https://framerusercontent.com/images/6IbE8hWKzJPwZkXKw20IU1ZKURQ.gif	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/6IbE8hWKzJPwZkXKw20IU1ZKURQ.gif	(from https://licznikbot.framer.website/)
12:06:13	64959/64959	---MC-	200	added ('OK')	image/jpeg	etag:%22096d4dcc99a19e69172109f66bacb1dd%22	https://framerusercontent.com/images/obrddvLwhrh4C9kddBgTPb0KTGE.jpeg?scale-down-to=1024	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/obrddvLwhrh4C9kddBgTPb0KTGEbf23.jpg	(from https://licznikbot.framer.website/about)
12:06:14	24387/24387	---MC-	200	added ('OK')	image/jpeg	etag:%22de4cc7011b611345ad55a45f78b7dc80%22	https://framerusercontent.com/images/VYjM6wNYVwM9kswne6nrEiymk.jpg	C:/Moje%20Strony%20Web/FRAJERGIT/framerusercontent.com/images/VYjM6wNYVwM9kswne6nrEiymk.jpg	(from https://licznikbot.framer.website/about)
